timestamp,solar_power_kw,load_total_kw
2026-01-01 00:00:00,0.71,6.26
2026-01-01 01:00:00,0.0,6.31
2026-01-01 02:00:00,0.0,8.79
2026-01-01 03:00:00,0.0,9.01
2026-01-01 04:00:00,1.15,7.44
2026-01-01 05:00:00,0.71,8.11
2026-01-01 06:00:00,0.0,5.97
2026-01-01 07:00:00,0.0,7.55
2026-01-01 08:00:00,0.0,8.05
2026-01-01 09:00:00,0.0,6.53
2026-01-01 10:00:00,0.0,9.77
2026-01-01 11:00:00,1.95,6.61
2026-01-01 12:00:00,4.41,9.84
2026-01-01 13:00:00,9.23,7.2
2026-01-01 14:00:00,11.24,8.61
2026-01-01 15:00:00,11.52,9.36
2026-01-01 16:00:00,10.13,10.45
2026-01-01 17:00:00,10.5,8.72
2026-01-01 18:00:00,8.38,14.16
2026-01-01 19:00:00,6.73,6.66
2026-01-01 20:00:00,2.77,8.22
2026-01-01 21:00:00,0.5,10.58
2026-01-01 22:00:00,0.29,8.91
2026-01-01 23:00:00,0.99,8.37
2026-01-02 00:00:00,0.09,9.68
2026-01-02 01:00:00,2.82,10.36
2026-01-02 02:00:00,0.0,8.64
2026-01-02 03:00:00,0.29,11.43
2026-01-02 04:00:00,1.49,5.06
2026-01-02 05:00:00,0.0,11.92
2026-01-02 06:00:00,0.0,6.73
2026-01-02 07:00:00,0.0,7.39
2026-01-02 08:00:00,0.0,13.11
2026-01-02 09:00:00,1.48,9.36
2026-01-02 10:00:00,3.33,6.65
2026-01-02 11:00:00,3.93,12.97
2026-01-02 12:00:00,5.62,13.81
2026-01-02 13:00:00,8.91,9.85
2026-01-02 14:00:00,11.08,6.6
2026-01-02 15:00:00,7.25,9.42
2026-01-02 16:00:00,6.72,6.56
2026-01-02 17:00:00,12.27,4.28
2026-01-02 18:00:00,7.48,16.63
2026-01-02 19:00:00,6.05,8.85
2026-01-02 20:00:00,0.66,10.91
2026-01-02 21:00:00,0.0,7.15
2026-01-02 22:00:00,0.5,10.22
2026-01-02 23:00:00,0.22,11.14
2026-01-03 00:00:00,1.82,9.45
2026-01-03 01:00:00,0.0,13.31
2026-01-03 02:00:00,0.22,5.07
2026-01-03 03:00:00,0.51,10.19
2026-01-03 04:00:00,0.0,5.9
2026-01-03 05:00:00,0.0,8.17
2026-01-03 06:00:00,2.67,12.09
2026-01-03 07:00:00,2.14,9.13
2026-01-03 08:00:00,0.0,8.56
2026-01-03 09:00:00,1.28,10.26
2026-01-03 10:00:00,0.0,7.68
2026-01-03 11:00:00,1.5,3.0
2026-01-03 12:00:00,6.52,9.58
2026-01-03 13:00:00,10.58,10.06
2026-01-03 14:00:00,5.28,10.07
2026-01-03 15:00:00,9.06,14.77
2026-01-03 16:00:00,11.22,14.85
2026-01-03 17:00:00,9.99,6.47
2026-01-03 18:00:00,9.73,7.39
2026-01-03 19:00:00,5.6,12.14
2026-01-03 20:00:00,1.29,9.51
2026-01-03 21:00:00,0.0,3.0
2026-01-03 22:00:00,1.75,9.28
2026-01-03 23:00:00,1.52,11.73
2026-01-04 00:00:00,2.06,5.5
2026-01-04 01:00:00,0.0,11.5
2026-01-04 02:00:00,0.31,8.98
2026-01-04 03:00:00,2.29,9.39
2026-01-04 04:00:00,0.0,3.55
2026-01-04 05:00:00,1.5,8.57
2026-01-04 06:00:00,0.0,8.57
2026-01-04 07:00:00,2.33,5.85
2026-01-04 08:00:00,2.56,9.39
2026-01-04 09:00:00,0.0,7.16
2026-01-04 10:00:00,0.0,12.43
2026-01-04 11:00:00,0.31,17.11
2026-01-04 12:00:00,3.25,10.71
2026-01-04 13:00:00,8.83,8.35
2026-01-04 14:00:00,5.46,11.94
2026-01-04 15:00:00,11.64,5.09
2026-01-04 16:00:00,12.94,6.16
2026-01-04 17:00:00,9.35,6.3
2026-01-04 18:00:00,8.33,12.03
2026-01-04 19:00:00,5.14,7.78
2026-01-04 20:00:00,2.12,5.28
2026-01-04 21:00:00,1.09,6.07
2026-01-04 22:00:00,0.0,4.76
2026-01-04 23:00:00,0.0,8.77
2026-01-05 00:00:00,1.71,10.4
2026-01-05 01:00:00,0.0,10.57
2026-01-05 02:00:00,0.42,7.93
2026-01-05 03:00:00,1.13,6.83
2026-01-05 04:00:00,0.0,9.76
2026-01-05 05:00:00,0.0,7.87
2026-01-05 06:00:00,0.03,4.02
2026-01-05 07:00:00,0.84,8.62
2026-01-05 08:00:00,0.06,8.67
2026-01-05 09:00:00,0.8,9.17
2026-01-05 10:00:00,1.94,8.68
2026-01-05 11:00:00,1.82,11.38
2026-01-05 12:00:00,4.46,7.04
2026-01-05 13:00:00,9.87,10.75
2026-01-05 14:00:00,10.82,9.4
2026-01-05 15:00:00,14.0,12.38
2026-01-05 16:00:00,13.91,5.38
2026-01-05 17:00:00,11.84,5.8
2026-01-05 18:00:00,8.14,10.03
2026-01-05 19:00:00,5.5,6.48
2026-01-05 20:00:00,1.98,9.46
2026-01-05 21:00:00,0.25,6.97
2026-01-05 22:00:00,1.43,13.41
2026-01-05 23:00:00,0.0,9.43
2026-01-06 00:00:00,0.0,10.81
2026-01-06 01:00:00,1.06,6.83
2026-01-06 02:00:00,1.05,12.64
2026-01-06 03:00:00,0.0,5.95
2026-01-06 04:00:00,0.0,7.5
2026-01-06 05:00:00,1.6,10.86
2026-01-06 06:00:00,0.45,7.3
2026-01-06 07:00:00,0.0,9.7
2026-01-06 08:00:00,0.0,8.54
2026-01-06 09:00:00,0.0,7.54
2026-01-06 10:00:00,0.04,6.55
2026-01-06 11:00:00,3.34,7.96
2026-01-06 12:00:00,6.12,10.8
2026-01-06 13:00:00,8.84,10.69
2026-01-06 14:00:00,10.87,9.89
2026-01-06 15:00:00,11.26,11.11
2026-01-06 16:00:00,11.14,6.55
2026-01-06 17:00:00,8.45,4.39
2026-01-06 18:00:00,12.26,10.06
2026-01-06 19:00:00,7.36,9.03
2026-01-06 20:00:00,2.99,9.16
2026-01-06 21:00:00,0.0,8.9
2026-01-06 22:00:00,0.0,4.11
2026-01-06 23:00:00,0.0,6.5
2026-01-07 00:00:00,0.0,13.83
2026-01-07 01:00:00,0.0,13.8
2026-01-07 02:00:00,0.0,8.4
2026-01-07 03:00:00,0.2,9.29
2026-01-07 04:00:00,0.0,7.64
2026-01-07 05:00:00,0.0,10.13
2026-01-07 06:00:00,0.0,10.91
2026-01-07 07:00:00,0.37,10.67
2026-01-07 08:00:00,0.0,4.11
2026-01-07 09:00:00,0.0,5.37
2026-01-07 10:00:00,0.0,10.02
2026-01-07 11:00:00,1.99,5.98
2026-01-07 12:00:00,5.03,8.58
2026-01-07 13:00:00,6.95,9.2
2026-01-07 14:00:00,11.11,14.6
2026-01-07 15:00:00,11.99,11.35
2026-01-07 16:00:00,11.53,8.12
2026-01-07 17:00:00,9.86,9.67
2026-01-07 18:00:00,5.42,16.0
2026-01-07 19:00:00,5.85,11.71
2026-01-07 20:00:00,1.77,8.07
2026-01-07 21:00:00,0.0,7.85
2026-01-07 22:00:00,0.0,14.35
2026-01-07 23:00:00,0.0,6.62
2026-01-08 00:00:00,1.67,10.05
2026-01-08 01:00:00,0.0,7.92
2026-01-08 02:00:00,0.92,13.38
2026-01-08 03:00:00,1.05,10.17
2026-01-08 04:00:00,0.0,9.37
2026-01-08 05:00:00,0.0,11.7
2026-01-08 06:00:00,1.14,9.19
2026-01-08 07:00:00,0.0,9.0
2026-01-08 08:00:00,0.0,11.42
2026-01-08 09:00:00,1.63,10.52
2026-01-08 10:00:00,0.0,10.81
2026-01-08 11:00:00,1.53,10.21
2026-01-08 12:00:00,4.09,5.63
2026-01-08 13:00:00,9.21,8.04
2026-01-08 14:00:00,9.31,10.51
2026-01-08 15:00:00,11.39,12.02
2026-01-08 16:00:00,11.55,7.04
2026-01-08 17:00:00,11.77,14.69
2026-01-08 18:00:00,7.73,6.99
2026-01-08 19:00:00,2.52,14.21
2026-01-08 20:00:00,2.17,9.83
2026-01-08 21:00:00,0.12,5.9
2026-01-08 22:00:00,0.19,8.34
2026-01-08 23:00:00,0.0,8.8
2026-01-09 00:00:00,1.06,9.21
2026-01-09 01:00:00,0.32,9.44
2026-01-09 02:00:00,0.29,10.16
2026-01-09 03:00:00,0.0,7.17
2026-01-09 04:00:00,0.68,9.11
2026-01-09 05:00:00,0.76,9.88
2026-01-09 06:00:00,0.62,12.32
2026-01-09 07:00:00,1.4,10.76
2026-01-09 08:00:00,0.4,16.06
2026-01-09 09:00:00,0.26,10.44
2026-01-09 10:00:00,0.96,5.5
2026-01-09 11:00:00,2.21,5.5
2026-01-09 12:00:00,6.05,12.7
2026-01-09 13:00:00,6.08,7.99
2026-01-09 14:00:00,9.48,3.0
2026-01-09 15:00:00,12.16,6.02
2026-01-09 16:00:00,12.59,14.85
2026-01-09 17:00:00,9.53,13.04
2026-01-09 18:00:00,8.42,10.59
2026-01-09 19:00:00,6.09,11.4
2026-01-09 20:00:00,3.23,13.2
2026-01-09 21:00:00,0.0,12.22
2026-01-09 22:00:00,0.0,6.57
2026-01-09 23:00:00,0.0,8.33
2026-01-10 00:00:00,1.64,4.41
2026-01-10 01:00:00,0.0,9.47
2026-01-10 02:00:00,0.0,6.13
2026-01-10 03:00:00,0.0,9.49
2026-01-10 04:00:00,0.96,10.94
2026-01-10 05:00:00,1.85,13.81
2026-01-10 06:00:00,0.0,10.55
2026-01-10 07:00:00,1.54,8.42
2026-01-10 08:00:00,0.0,3.29
2026-01-10 09:00:00,0.72,8.45
2026-01-10 10:00:00,0.84,9.39
2026-01-10 11:00:00,2.16,13.04
2026-01-10 12:00:00,4.72,10.66
2026-01-10 13:00:00,7.75,8.68
2026-01-10 14:00:00,11.11,6.08
2026-01-10 15:00:00,9.42,10.58
2026-01-10 16:00:00,13.09,9.44
2026-01-10 17:00:00,0.8,10.28
2026-01-10 18:00:00,6.89,9.36
2026-01-10 19:00:00,4.43,8.18
2026-01-10 20:00:00,1.38,13.09
2026-01-10 21:00:00,1.55,14.75
2026-01-10 22:00:00,0.0,5.14
2026-01-10 23:00:00,0.0,3.73
2026-01-11 00:00:00,0.54,8.16
2026-01-11 01:00:00,2.04,8.06
2026-01-11 02:00:00,0.0,8.68
2026-01-11 03:00:00,0.0,9.75
2026-01-11 04:00:00,0.0,5.38
2026-01-11 05:00:00,0.0,3.0
2026-01-11 06:00:00,0.64,9.59
2026-01-11 07:00:00,0.0,10.76
2026-01-11 08:00:00,0.0,6.29
2026-01-11 09:00:00,0.0,7.75
2026-01-11 10:00:00,0.0,3.63
2026-01-11 11:00:00,1.88,9.52
2026-01-11 12:00:00,5.78,8.67
2026-01-11 13:00:00,10.03,5.8
2026-01-11 14:00:00,11.36,10.67
2026-01-11 15:00:00,9.03,5.42
2026-01-11 16:00:00,13.18,14.36
